city_name,country_code,first_online_date,shop_id,activity_days,asp,b_p1p2,commission_per_order,days_in_data,eff_online_days,is_healthy_store,ted_per_order,b_cancel_rate,online_rate,photo_rate,recurrency_rate
Cuernavaca,MX,2024-02-09,5764607644606926124,null,0.000000000000000000,0.0,0.000000000000000000,14,0,0,0.000000000000000000,0.0,0.0,0.9130434782608695,0.0
Culiacan,MX,2023-12-11,5764607749384834172,null,219.093509127789000000,0.016835586538298846,61.003316430020300000,14,102,98,73.918002028397600000,0.0,0.6591734088457389,0.7637703646237394,0.24882629107981222
Guadalajara,MX,2023-11-29,5764607649287769531,15,148.915909090909100000,0.006252494346148729,35.363636363636400000,14,20,20,141.775454545454500000,0.06382978723404255,0.998147619047619,1.0,0.14285714285714285
Mexico City,MX,2023-11-22,5764607695496416011,32,276.541367521367500000,0.007018125552608312,79.216410256410300000,14,32,30,75.468888888888900000,0.0,0.8392248995983936,0.9757477768795473,0.3701923076923077
Saltillo,MX,2024-02-25,5764608000011272224,null,162.563636363636400000,0.0062514294427079365,39.545454545454500000,14,29,26,11.073295454545500000,0.0,0.8563639545056868,1.0,0.21428571428571427
Tepic,MX,2024-05-13,5764607725414387275,null,157.482608695652200000,0.008234872896527032,37.750434782608700000,14,13,3,36.132173913043500000,0.0,0.3488771929824561,0.6567164179104478,0.26229508196721313
Guadalajara,MX,2023-12-23,5764607627007626693,null,135.800000000000000000,0.003471017007983339,42.000000000000000000,14,8,7,31.200000000000000000,0.0,0.6034649122807018,1.0,0.0
Cali,CO,2024-05-14,5764607679843274696,null,0.000000000000000000,3.5137034434293746E-4,0.000000000000000000,14,5,1,0.000000000000000000,0.0,0.17918045112781952,1.0,0.0
Tlaxcala,MX,2024-02-06,5764607632439250718,null,0.000000000000000000,0.0,0.000000000000000000,14,0,0,0.000000000000000000,0.0,0.0,1.0,0.25
Morelia,MX,2024-02-23,5764607773846015897,null,180.146153846153800000,0.0073598792224948105,48.810512820512800000,14,22,22,11.630769230769200000,0.0,0.9938133030990175,0.7426900584795322,0.2222222222222222
Chihuahua,MX,2023-11-08,5764607709199205918,null,0.000000000000000000,0.0,0.000000000000000000,14,0,0,0.000000000000000000,0.0,0.0,0.7142857142857143,0.0
Puebla,MX,2024-04-24,5764607672020897725,null,146.723600000000000000,0.016069515533865018,42.321920000000000000,14,17,17,182.634400000000000000,0.07407407407407407,0.911619462599855,1.0,0.0
